Date,year,month,Station,Bay,Species,Length,Weight
5/18/2019,2019,May,xxx,Cooks,walleye pollock,183,39.8553
5/18/2019,2019,May,xxx,Cooks,walleye pollock,174,40.876
6/5/2019,2019,June,xxx,Cooks,walleye pollock,162,32.022
6/5/2019,2019,June,xxx,Cooks,walleye pollock,156,27.2176
6/5/2019,2019,June,xxx,Cooks,walleye pollock,128,16.5567
6/5/2019,2019,June,xxx,Cooks,walleye pollock,146,22.9649
6/5/2019,2019,June,xxx,Cooks,walleye pollock,157,27.2328
6/5/2019,2019,June,xxx,Cooks,walleye pollock,146,21.6288
6/5/2019,2019,June,xxx,Cooks,walleye pollock,149,21.6458
6/5/2019,2019,June,xxx,Cooks,walleye pollock,147,21.0609
6/5/2019,2019,June,xxx,Cooks,walleye pollock,123,10.3832
6/5/2019,2019,June,xxx,Cooks,walleye pollock,163,27.6042
6/5/2019,2019,June,xxx,Cooks,walleye pollock,166,27.0118
6/5/2019,2019,June,xxx,Cooks,walleye pollock,135,15.9503
6/5/2019,2019,June,xxx,Cooks,walleye pollock,135,14.8838
6/5/2019,2019,June,xxx,Cooks,walleye pollock,138,13.9393
6/5/2019,2019,June,xxx,Cooks,walleye pollock,144,18.2718
7/23/2019,2019,July,163,Falmouth,walleye pollock,126,12.6342
6/5/2019,2019,June,xxx,Cooks,walleye pollock,135,17.0108
6/5/2019,2019,June,xxx,Cooks,walleye pollock,144,18.7377
6/5/2019,2019,June,xxx,Cooks,walleye pollock,124,15.0872
6/5/2019,2019,June,xxx,Cooks,walleye pollock,152,24.2683
6/5/2019,2019,June,xxx,Cooks,walleye pollock,134,19.4291
6/5/2019,2019,June,xxx,Cooks,walleye pollock,135,17.3499
6/5/2019,2019,June,xxx,Cooks,walleye pollock,145,20.5912
6/5/2019,2019,June,xxx,Cooks,walleye pollock,137,18.5123
6/5/2019,2019,June,xxx,Cooks,walleye pollock,136,18.5047
6/5/2019,2019,June,xxx,Cooks,walleye pollock,139,16.967
6/5/2019,2019,June,xxx,Cooks,walleye pollock,162,30.15
6/5/2019,2019,June,xxx,Cooks,walleye pollock,151,25.1047
6/5/2019,2019,June,xxx,Cooks,walleye pollock,162,31.8694
6/5/2019,2019,June,xxx,Cooks,walleye pollock,124,11.777
