Year,Age,Length (cm)
1983,3.5,36.4
1984,3.7,35.9
1985,4.5,41.1
1986,4.6,41.7
1987,5.5,44.7
1988,5.9,44.1
1989,5.1,42.7
1990,4.9,40.4
1991,6.1,45.8
1992,5.8,43.8
1993,5.7,45.9
1994,4.2,41.0
1995,4.7,43.4
1996,4.9,44.8
1997,4.5,41.4
1998,5.5,43.7
1999,5.2,44.3
2000,5.2,44.5
2001,4.6,41.5
2002,5.5,46.4
2003,4.3,37.8
2004,4.1,40.5
2005,5.1,44.5
2006,4.6,43.1
2007,5.6,49.1
2008,5.3,47.4
2009,4.4,46.7
2010,4.7,47.5
2011,4.7,48.1
2012,4.7,49.4
2013,5.4,45.1
2014,4.5,39.3
2015,4.0,31.8
2016,2.6,37.0
2017,4.1,39.1
2018,4.8,39.4
2019,4.9,42.5
2020,4.8,40.6
2021,4.0,n/a
