"","year","sst"
"1950",1950,4.48749300638835
"1951",1951,4.55226813422309
"1952",1952,4.54208346737756
"1953",1953,4.67580356068081
"1954",1954,4.39510482947032
"1955",1955,5.07435528967116
"1956",1956,4.47478491465251
"1957",1957,4.2344123840332
"1958",1958,5.7588056564331
"1959",1959,5.04376148117913
"1960",1960,5.1409119076199
"1961",1961,4.73884083959791
"1962",1962,4.50375612576803
"1963",1963,4.96146125263638
"1964",1964,5.38672972785102
"1965",1965,4.22037490208944
"1966",1966,4.68248022927178
"1967",1967,4.50258434613546
"1968",1968,4.85079766909281
"1969",1969,4.22104076809353
"1970",1970,5.38708648151822
"1971",1971,4.75218910111321
"1972",1972,3.68226780361599
"1973",1973,4.26074902216593
"1974",1974,4.27292645772298
"1975",1975,4.69778640535143
"1976",1976,4.29196386867099
"1977",1977,5.19146271811591
"1978",1978,4.5147836473253
"1979",1979,5.12988578478495
"1980",1980,5.1142249001397
"1981",1981,4.90712163183424
"1982",1982,5.10845450295342
"1983",1983,5.07749118804932
"1984",1984,5.58626945813497
"1985",1985,5.68125024371677
"1986",1986,4.8992135948605
"1987",1987,5.91637892193264
"1988",1988,5.43188042110867
"1989",1989,4.82257908715142
"1990",1990,4.80455680953132
"1991",1991,4.66954566107856
"1992",1992,5.12495348188612
"1993",1993,4.80579912397597
"1994",1994,5.69550426271227
"1995",1995,4.49333669874403
"1996",1996,4.79376306003994
"1997",1997,4.71036486095852
"1998",1998,5.50293855667114
"1999",1999,5.30484958754645
"2000",2000,4.43523242208693
"2001",2001,5.27704803678724
"2002",2002,4.61167994075351
"2003",2003,6.18843310674032
"2004",2004,5.01280312538147
"2005",2005,5.06695035298665
"2006",2006,4.69353241390652
"2007",2007,4.3382112370597
"2008",2008,4.35247796906365
"2009",2009,4.12786395019955
"2010",2010,4.99755255381266
"2011",2011,4.95610734621684
"2012",2012,4.22520045704312
"2013",2013,4.76601706080967
"2014",2014,5.41321937772963
"2015",2015,6.23564589818319
"2016",2016,6.11230915917291
"2017",2017,5.90222001605564
"2018",2018,5.40055589675903
"2019",2019,6.36828042136298
"2020",2020,5.81401682959663
"2021",2021,5.44510720041063
"2022",2022,4.43114002545675
