Year,Age2,Age3,Age4,Age5,Age6,Age7,Age8,Age9,Age10
1970,0,0.063135563,0.211024834,0.180782268,0.136588376,0.102403218,0.073677188,0.058097138,0.174291415
1971,0,0.054937383,0.202272678,0.183532748,0.135995532,0.105578588,0.074948983,0.0601465,0.182587588
1972,0,0.060338035,0.178855382,0.17892616,0.140172981,0.106680948,0.077867325,0.061340719,0.19581845
1973,0,0.165379761,0.185641102,0.137797906,0.113292251,0.090011632,0.065345113,0.054446012,0.188086223
1974,0,0.15746599,0.403180299,0.109780211,0.064803591,0.055183268,0.041173817,0.033266731,0.135146093
1975,0,0.322711638,0.314229627,0.18762052,0.03948138,0.024192334,0.019112393,0.015924581,0.076727528
1976,0,0.044768777,0.645588718,0.156474552,0.075506127,0.016608525,0.009372174,0.007950943,0.043730185
1977,0,0.057075949,0.161850819,0.559038207,0.107863217,0.052595232,0.010560357,0.007465788,0.04355043
1978,0,0.250240629,0.179256752,0.11893271,0.316917007,0.061560202,0.029527605,0.006807046,0.036758049
1979,0,0.228051814,0.481627488,0.081396282,0.041735652,0.115609524,0.02149325,0.01094036,0.019145631
1980,0,0.189067486,0.458463238,0.235937676,0.032081646,0.0168117,0.044201576,0.009501356,0.013935322
1981,0,0.233075319,0.381772432,0.23549352,0.098032543,0.013705751,0.006984896,0.020042743,0.010892795
1982,0,0.088000457,0.511396568,0.217647903,0.110410968,0.047254488,0.006125895,0.003572897,0.015590824
1983,0,0.051237729,0.268589618,0.408521693,0.145957337,0.076146904,0.030941878,0.004397508,0.014207332
1984,0,0.055437841,0.157481576,0.246702039,0.320306598,0.117575836,0.060385615,0.025850007,0.016260488
1985,0.014436904,0.020497939,0.14495928,0.107785438,0.212523611,0.294013598,0.107198988,0.056243574,0.042340668
1986,0,0.013762655,0.034225549,0.235007675,0.14311781,0.171182071,0.23110222,0.08536985,0.086232171
1987,0,0.025480382,0.055401656,0.094800747,0.183165925,0.124878931,0.150136929,0.205838859,0.160296571
1988,0,0,0.270291157,0.060802247,0.112833213,0.109228239,0.097583299,0.095163906,0.254097938
1989,0,0,0.088682382,0.310229935,0.134440073,0.097046652,0.092855413,0.055531178,0.221214367
1990,0,0,0.026348915,0.139062456,0.366570761,0.123160355,0.071550933,0.064979793,0.208326787
1991,0,0,0.05494977,0.010500191,0.108533221,0.3684387,0.110636163,0.069717892,0.277224063
1992,0,0,0.052820926,0.025944219,0.073338668,0.140166464,0.336507803,0.0947528,0.27646912
1993,0,0.007935375,0.093055119,0.323534239,0.08265778,0.039205892,0.070229022,0.17602451,0.207358062
1994,0,0.001669301,0.086162425,0.320773828,0.282941384,0.075326722,0.020974336,0.031902557,0.180249446
1995,0,0,0.030273477,0.131607828,0.29170942,0.261189423,0.068711353,0.01685536,0.19965314
1996,0,0,0.006577853,0.120254442,0.141448382,0.252601006,0.219290399,0.064087705,0.195740213
1997,0,0,0.050588904,0.10596749,0.127173245,0.119512206,0.199916341,0.177736102,0.219105712
1998,0,0,0.072816439,0.040052878,0.104091444,0.109894398,0.107421511,0.181958886,0.383764444
1999,0,0.00259488,0.052172182,0.301889297,0.094119303,0.056492405,0.061249684,0.061782847,0.369699404
2000,0,0.005084841,0.03336049,0.223414616,0.335992808,0.039309192,0.035650073,0.039798479,0.287389501
2001,0,0,0.085796253,0.06068081,0.204842266,0.290746473,0.04697608,0.027579488,0.283378629
2002,0,0.056724946,0.094177956,0.139433789,0.112235999,0.151785983,0.194113707,0.030073955,0.221453666
2003,0.016096416,0.159759438,0.240578553,0.092562758,0.075237717,0.062179398,0.085346381,0.111109252,0.157130086
2004,0.022188956,0.039442883,0.344663472,0.316059115,0.067687523,0.038878405,0.026024084,0.034484333,0.110571229
2005,0.011845418,0.02135427,0.047515764,0.384769076,0.296660085,0.05877285,0.031624098,0.021746491,0.125711949
2006,0.004343424,0.005114642,0.016720762,0.050711129,0.402367592,0.286841034,0.054139027,0.030723336,0.149039053
2007,0.025384158,0.02537298,0.033965702,0.064648006,0.075445494,0.359273573,0.225892176,0.041915716,0.148102196
2008,0.005834749,0.0267733,0.031847512,0.044503333,0.067885904,0.072476857,0.342895509,0.2136873,0.194095535
2009,0.013281076,0.038837887,0.143922415,0.124163319,0.069976983,0.054707903,0.048887511,0.226541742,0.279681163
2010,0.004213756,0.050680515,0.205344071,0.408160588,0.09901714,0.027930782,0.019240894,0.01574255,0.169669704
2011,0.002373117,0.027000324,0.22965165,0.311154906,0.251247276,0.052835927,0.014558998,0.009264817,0.101912986
2012,0.012512906,0.013808149,0.117168538,0.352921172,0.225221266,0.161734717,0.033148398,0.008594029,0.074890825
2013,0,0.00873008,0.031658532,0.205958626,0.327275219,0.18882434,0.13400437,0.027409985,0.076138847
2014,0.045051812,0.003561246,0.069882295,0.05002937,0.161664207,0.284113772,0.166821874,0.120634147,0.098241276
2015,0.012959781,0.488176211,0.023025354,0.170395769,0.034816047,0.059122511,0.088332429,0.050867601,0.072304297
2016,7.67E-06,0.005583596,0.83785489,0.017582062,0.057975957,0.009378464,0.014920283,0.022167278,0.034529798
2017,0.000189147,0.002179268,0.076505931,0.822574708,0.010535168,0.035429619,0.005707025,0.009375827,0.037503307
2018,0.005627233,8.07E-05,0.001763912,0.077660803,0.810516119,0.010873511,0.035854479,0.005762327,0.051860944
2019,0.003864695,0.004923269,0.00015969,0.001940382,0.076008356,0.803641732,0.011036678,0.035151856,0.063273341
2020,0.00409046,0.021658038,0.027992675,0,0.002773193,0.074604933,0.755842923,0.010550193,0.102487585
