"","year","month","anom","dec.yr"
"01/01/80",1980,1,-0.416067729551325,1980.04166666667
"02/01/80",1980,2,-0.305236886418055,1980.125
"03/01/80",1980,3,-0.292511874405795,1980.20833333333
"04/01/80",1980,4,-0.0958257301774606,1980.29166666667
"05/01/80",1980,5,-0.445139010747274,1980.375
"06/01/80",1980,6,-0.929714218018547,1980.45833333333
"07/01/80",1980,7,-1.11119277136666,1980.54166666667
"08/01/80",1980,8,-1.34658789508557,1980.625
"09/01/80",1980,9,-1.3982515385542,1980.70833333333
"10/01/80",1980,10,-0.338605996792909,1980.79166666667
"11/01/80",1980,11,-0.124416260492234,1980.875
"12/01/80",1980,12,-0.274678469965698,1980.95833333333
"01/01/81",1981,1,-0.475515574374527,1981.04166666667
"02/01/81",1981,2,-0.49759188341716,1981.125
"03/01/81",1981,3,0.234376972945279,1981.20833333333
"04/01/81",1981,4,0.86745913318856,1981.29166666667
"05/01/81",1981,5,1.0252517329322,1981.375
"06/01/81",1981,6,1.27043139745319,1981.45833333333
"07/01/81",1981,7,0.482545572613913,1981.54166666667
"08/01/81",1981,8,0.0914062141741392,1981.625
"09/01/81",1981,9,0.549920394937828,1981.70833333333
"10/01/81",1981,10,0.156876871825526,1981.79166666667
"11/01/81",1981,11,0.0878365153358095,1981.875
"12/01/81",1981,12,0.217801066302748,1981.95833333333
"01/01/82",1982,1,-0.158119066051705,1982.04166666667
"02/01/82",1982,2,-0.118213803049118,1982.125
"03/01/82",1982,3,-0.160465572246168,1982.20833333333
"04/01/82",1982,4,-0.958528550213607,1982.29166666667
"05/01/82",1982,5,-1.15400719642639,1982.375
"06/01/82",1982,6,-1.61255000886463,1982.45833333333
"07/01/82",1982,7,-2.35196862145076,1982.54166666667
"08/01/82",1982,8,-1.21598103185179,1982.625
"09/01/82",1982,9,-0.977093383748695,1982.70833333333
"10/01/82",1982,10,-1.02989271961192,1982.79166666667
"11/01/82",1982,11,-0.820615094805521,1982.875
"12/01/82",1982,12,-0.0353288928036969,1982.95833333333
"01/01/83",1983,1,-0.168057888903946,1983.04166666667
"02/01/83",1983,2,0.132396892895774,1983.125
"03/01/83",1983,3,0.605627549388421,1983.20833333333
"04/01/83",1983,4,0.715756729166344,1983.29166666667
"05/01/83",1983,5,0.413129674063789,1983.375
"06/01/83",1983,6,0.837296894618443,1983.45833333333
"07/01/83",1983,7,0.795303806426033,1983.54166666667
"08/01/83",1983,8,0.414204413297946,1983.625
"09/01/83",1983,9,0.116561248819664,1983.70833333333
"10/01/83",1983,10,-0.276118712450461,1983.79166666667
"11/01/83",1983,11,-0.101057385641431,1983.875
"12/01/83",1983,12,0.726693443520359,1983.95833333333
"01/01/84",1984,1,0.66391704132948,1984.04166666667
"02/01/84",1984,2,0.475009450836787,1984.125
"03/01/84",1984,3,0.493351366154101,1984.20833333333
"04/01/84",1984,4,0.590004359603559,1984.29166666667
"05/01/84",1984,5,0.497526248296102,1984.375
"06/01/84",1984,6,1.16428553868854,1984.45833333333
"07/01/84",1984,7,0.587312630244664,1984.54166666667
"08/01/84",1984,8,0.946878566943779,1984.625
"09/01/84",1984,9,0.41086577864551,1984.70833333333
"10/01/84",1984,10,0.425460063591205,1984.79166666667
"11/01/84",1984,11,0.550214275481209,1984.875
"12/01/84",1984,12,0.756428372923028,1984.95833333333
"01/01/85",1985,1,0.671845253813204,1985.04166666667
"02/01/85",1985,2,0.542117843552241,1985.125
"03/01/85",1985,3,0.212212098338617,1985.20833333333
"04/01/85",1985,4,-0.28973269967175,1985.29166666667
"05/01/85",1985,5,-0.939844608306885,1985.375
"06/01/85",1985,6,-1.85476421174549,1985.45833333333
"07/01/85",1985,7,-1.28690111826337,1985.54166666667
"08/01/85",1985,8,-1.12568078974567,1985.625
"09/01/85",1985,9,-0.447036960137584,1985.70833333333
"10/01/85",1985,10,-0.60739401660899,1985.79166666667
"11/01/85",1985,11,-1.14035242322891,1985.875
"12/01/85",1985,12,-0.289974134435099,1985.95833333333
"01/01/86",1986,1,0.017581969341904,1986.04166666667
