"year","shannon"
1986,1.94791882249198
1987,2.08801472615484
1988,2.01456145587672
1989,1.85940923260316
1990,2.08818426856136
1991,2.1117649916451
1992,2.52500570821645
1993,2.20250634307635
1994,2.01799392583583
1995,2.17923857950423
1996,1.97535828142288
1997,1.97846395342595
1998,2.09082640855984
2000,1.87574051311518
2002,1.96700769903064
2003,1.68522177965292
2004,1.2998782811171
2005,1.40651525192973
2006,1.72852849063399
2007,1.67979815114694
2008,1.97710262969022
2009,1.71958683682055
2010,2.00129788834595
2012,1.67775191231425
2013,2.10801918123473
2014,1.83920127280281
2015,2.25453185900678
2016,1.15709928915522
2017,0.82274271489349
2018,0.737254713701995
2019,1.07628699192295
2020,1.65237882194299
